Nomenclator de Galicia. Ano 2017;;;;;;;;;;
Recuperados 382 rexistros;;;;;;;;;;
;;;;;;;;;;
PRO;CON;EC;ES;NUC;PROVINCIA;CONCELLO;NOME;TOTAL;HOMES;MULLERES
36;24;24;8;0;PONTEVEDRA;LALÍN;PALMAZ;91;45;46
36;24;24;9;0;PONTEVEDRA;LALÍN;PAREIZO;108;53;55
36;24;24;10;0;PONTEVEDRA;LALÍN;OS PORCALLOS;19;6;13
36;24;24;11;0;PONTEVEDRA;LALÍN;SANTÓN;13;8;5
36;24;25;0;0;PONTEVEDRA;LALÍN;GRESANDE (SANTIAGO);185;96;89
36;24;25;1;0;PONTEVEDRA;LALÍN;GRESANDE;86;46;40
36;24;25;2;0;PONTEVEDRA;LALÍN;INSUA;29;14;15
36;24;25;3;0;PONTEVEDRA;LALÍN;PORREIROS;5;2;3
36;24;25;4;0;PONTEVEDRA;LALÍN;RAMIL;45;25;20
36;24;25;5;0;PONTEVEDRA;LALÍN;O SOUTO;3;2;1
36;24;25;6;0;PONTEVEDRA;LALÍN;VALES;17;7;10
36;24;26;0;0;PONTEVEDRA;LALÍN;XAXÁN (SANTA MARÍA DA SALETA);178;81;97
36;24;26;1;0;PONTEVEDRA;LALÍN;CARRAGOSO DE ARRIBA;92;42;50
36;24;26;2;0;PONTEVEDRA;LALÍN;XAXÁN;29;14;15
36;24;26;3;0;PONTEVEDRA;LALÍN;O SOUTO;57;25;32
36;24;27;0;0;PONTEVEDRA;LALÍN;LALÍN (SANTA MARÍA DAS DORES);10670;5154;5516
36;24;27;1;0;PONTEVEDRA;LALÍN;ALFONSELLE;27;14;13
36;24;27;4;0;PONTEVEDRA;LALÍN;FEÁS;66;30;36
36;24;27;5;0;PONTEVEDRA;LALÍN;GARCÍA SÁNCHEZ;38;22;16
36;24;27;6;0;PONTEVEDRA;LALÍN;LAGAZÓS;47;27;20
36;24;27;7;0;PONTEVEDRA;LALÍN;LALÍN;10286;4972;5314
36;24;27;8;0;PONTEVEDRA;LALÍN;LALÍN DE ARRIBA;131;61;70
36;24;27;9;0;PONTEVEDRA;LALÍN;O OUTEIRO;19;6;13
36;24;27;11;0;PONTEVEDRA;LALÍN;VILA FLORES;56;22;34
36;24;28;0;0;PONTEVEDRA;LALÍN;LEBOZÁN (SANTIAGO);104;55;49
36;24;28;1;0;PONTEVEDRA;LALÍN;BUSTELO;24;12;12
36;24;28;2;0;PONTEVEDRA;LALÍN;CARROFEITO;15;8;7
36;24;28;3;0;PONTEVEDRA;LALÍN;A CASTIÑEIRA;2;1;1
36;24;28;4;0;PONTEVEDRA;LALÍN;O ESPIÑO;5;4;1
36;24;28;5;0;PONTEVEDRA;LALÍN;LEBOZÁN;44;21;23
36;24;28;6;0;PONTEVEDRA;LALÍN;SAMPRIZÓN;11;7;4
36;24;28;7;0;PONTEVEDRA;LALÍN;A ERMIDA;3;2;1
36;24;29;0;0;PONTEVEDRA;LALÍN;LODEIRO (SAN PAIO);52;25;27
36;24;29;1;0;PONTEVEDRA;LALÍN;CASTRO DE ABAIXO;38;18;20
36;24;29;2;0;PONTEVEDRA;LALÍN;SAN PAIO;14;7;7
36;24;30;0;0;PONTEVEDRA;LALÍN;LOSÓN (SANTA BAIA);263;121;142
36;24;30;1;0;PONTEVEDRA;LALÍN;O ALLE;3;1;2
36;24;30;2;0;PONTEVEDRA;LALÍN;BRENZOS DE ABAIXO;6;2;4
36;24;30;3;0;PONTEVEDRA;LALÍN;BRENZOS DE ARRIBA;10;6;4
36;24;30;4;0;PONTEVEDRA;LALÍN;O CORPIÑO;50;20;30
36;24;30;5;0;PONTEVEDRA;LALÍN;A DEVESA DE ABAIXO;6;3;3
36;24;30;6;0;PONTEVEDRA;LALÍN;A DEVESA DE ARRIBA;31;17;14
36;24;30;7;0;PONTEVEDRA;LALÍN;O LAMEIRO;6;3;3
36;24;30;8;0;PONTEVEDRA;LALÍN;LOSÓN;14;7;7
36;24;30;9;0;PONTEVEDRA;LALÍN;MILLEIRÓS;13;6;7
36;24;30;10;0;PONTEVEDRA;LALÍN;MONTOUTO;9;5;4
36;24;30;11;0;PONTEVEDRA;LALÍN;O OUTEIRO;23;8;15
36;24;30;12;0;PONTEVEDRA;LALÍN;PORTO DO CARRIO;6;1;5
36;24;30;13;0;PONTEVEDRA;LALÍN;RIBAS;36;16;20
36;24;30;14;0;PONTEVEDRA;LALÍN;SAN MARTIÑO;21;9;12
36;24;30;15;0;PONTEVEDRA;LALÍN;SENÍN;17;9;8
36;24;30;16;0;PONTEVEDRA;LALÍN;SOUTO;12;8;4
36;24;31;0;0;PONTEVEDRA;LALÍN;MACEIRA (SAN MARTIÑO);117;62;55
36;24;31;1;0;PONTEVEDRA;LALÍN;MACEIRA;62;30;32
36;24;31;2;0;PONTEVEDRA;LALÍN;PARDESOA;35;23;12
36;24;31;3;0;PONTEVEDRA;LALÍN;RODELAS;20;9;11
36;24;32;0;0;PONTEVEDRA;LALÍN;MADRIÑÁN (SANTO ADRAO);126;64;62
36;24;32;1;0;PONTEVEDRA;LALÍN;ANZUXAO;8;4;4
36;24;32;2;0;PONTEVEDRA;LALÍN;A GOLETA;2;1;1
36;24;32;3;0;PONTEVEDRA;LALÍN;A GRELA;4;2;2
36;24;32;4;0;PONTEVEDRA;LALÍN;SANTRADAO;6;2;4
36;24;32;5;0;PONTEVEDRA;LALÍN;MADRIÑÁN;28;13;15
36;24;32;6;0;PONTEVEDRA;LALÍN;MARTÍN;4;2;2
36;24;32;7;0;PONTEVEDRA;LALÍN;O PAZO;22;11;11
36;24;32;8;0;PONTEVEDRA;LALÍN;O PIÑEIRO;10;7;3
36;24;32;9;0;PONTEVEDRA;LALÍN;PORTOS;33;19;14
36;24;32;10;0;PONTEVEDRA;LALÍN;A TORRE;9;3;6
36;24;33;0;0;PONTEVEDRA;LALÍN;MÉIXOME (SANTIAGO);113;51;62
36;24;33;1;0;PONTEVEDRA;LALÍN;O CASTIÑEIRO;34;14;20
36;24;33;2;0;PONTEVEDRA;LALÍN;O CASTRO;17;8;9
36;24;33;3;0;PONTEVEDRA;LALÍN;MATO;17;8;9
36;24;33;4;0;PONTEVEDRA;LALÍN;MÉIXOME;29;14;15
36;24;33;5;0;PONTEVEDRA;LALÍN;REQUEIXO;16;7;9
36;24;34;0;0;PONTEVEDRA;LALÍN;MONEIXAS (SANTO ADRAO);205;101;104
36;24;34;1;0;PONTEVEDRA;LALÍN;O CAMPIÑO;6;2;4
36;24;34;2;0;PONTEVEDRA;LALÍN;O COTO;16;8;8
36;24;34;3;0;PONTEVEDRA;LALÍN;ENXAME;24;11;13
36;24;34;4;0;PONTEVEDRA;LALÍN;MONEIXAS;21;11;10
36;24;34;5;0;PONTEVEDRA;LALÍN;MONEIXIÑAS;32;17;15
36;24;34;6;0;PONTEVEDRA;LALÍN;O OUTEIRO;66;30;36
36;24;34;7;0;PONTEVEDRA;LALÍN;O PEDROUZO;2;1;1
36;24;34;8;0;PONTEVEDRA;LALÍN;QUINTÁ;11;7;4
36;24;34;9;0;PONTEVEDRA;LALÍN;REGOUFE;27;14;13
36;24;35;0;0;PONTEVEDRA;LALÍN;MOIMENTA (SAN LOURENZO);149;76;73
36;24;35;1;0;PONTEVEDRA;LALÍN;MEIXOMÍN;36;19;17
36;24;35;2;0;PONTEVEDRA;LALÍN;MOIMENTA;92;45;47
36;24;35;3;0;PONTEVEDRA;LALÍN;AS LAMAS DE MEIXOMÍN;21;12;9
36;24;36;0;0;PONTEVEDRA;LALÍN;NOCEDA (SANTA MARÍA);267;130;137
36;24;36;1;0;PONTEVEDRA;LALÍN;GOLMAR;58;30;28
36;24;36;2;0;PONTEVEDRA;LALÍN;EIRIXE;43;22;21
36;24;36;3;0;PONTEVEDRA;LALÍN;LAMAS;28;12;16
36;24;36;4;0;PONTEVEDRA;LALÍN;NOCEDA DE ABAIXO;32;12;20
36;24;36;5;0;PONTEVEDRA;LALÍN;XONXIL;48;21;27
36;24;36;6;0;PONTEVEDRA;LALÍN;A TOXIÑA;18;10;8
36;24;36;7;0;PONTEVEDRA;LALÍN;VILAR DO XESTAL;40;23;17
36;24;37;0;0;PONTEVEDRA;LALÍN;PALMOU (SAN XOÁN);153;80;73
36;24;37;1;0;PONTEVEDRA;LALÍN;O BARREIRÓN;4;1;3
36;24;37;2;0;PONTEVEDRA;LALÍN;ERBO DE ARRIBA;28;16;12
36;24;37;3;0;PONTEVEDRA;LALÍN;PALMOU;48;25;23
36;24;37;4;0;PONTEVEDRA;LALÍN;PAZOS;17;9;8
36;24;37;5;0;PONTEVEDRA;LALÍN;A PEDREIRA;10;7;3
36;24;37;6;0;PONTEVEDRA;LALÍN;QUINTÁ;9;5;4
36;24;37;7;0;PONTEVEDRA;LALÍN;RIELO;37;17;20
36;24;38;0;0;PONTEVEDRA;LALÍN;PARADA (SANTA MARÍA);70;35;35
36;24;38;1;0;PONTEVEDRA;LALÍN;ALPERIZ;37;19;18
36;24;38;2;0;PONTEVEDRA;LALÍN;A EIRIXE;7;3;4
36;24;38;3;0;PONTEVEDRA;LALÍN;PARADA;26;13;13
36;24;39;0;0;PONTEVEDRA;LALÍN;PRADO (SAN MARTIÑO);222;110;112
36;24;39;1;0;PONTEVEDRA;LALÍN;A BORRALLA;34;16;18
36;24;39;2;0;PONTEVEDRA;LALÍN;A EIREXE;14;10;4
36;24;39;3;0;PONTEVEDRA;LALÍN;LIÑARES;7;4;3
36;24;39;4;0;PONTEVEDRA;LALÍN;OUTEIRO;1;0;1
36;24;39;5;0;PONTEVEDRA;LALÍN;PRADO;161;77;84
36;24;39;6;0;PONTEVEDRA;LALÍN;PRADUXAO;5;3;2
36;24;40;0;0;PONTEVEDRA;LALÍN;RODÍS (SAN XIAO);96;49;47
36;24;40;1;0;PONTEVEDRA;LALÍN;RODÍS DA IGREXA;12;8;4
36;24;40;2;0;PONTEVEDRA;LALÍN;PALIO DE ABAIXO;34;16;18
36;24;40;3;0;PONTEVEDRA;LALÍN;PALIO DE ARRIBA;27;14;13
36;24;40;4;0;PONTEVEDRA;LALÍN;RODÍS DO MEDIO;23;11;12
36;24;41;0;0;PONTEVEDRA;LALÍN;SANTISO (SAN ROMÁN);232;117;115
36;24;41;1;0;PONTEVEDRA;LALÍN;A CRUZ;38;17;21
36;24;41;2;0;PONTEVEDRA;LALÍN;EIREXE;25;14;11
36;24;41;3;0;PONTEVEDRA;LALÍN;PORRAL;4;2;2
36;24;41;4;0;PONTEVEDRA;LALÍN;A RIBA;9;4;5
36;24;41;5;0;PONTEVEDRA;LALÍN;SANTISO DO FONDO;12;6;6
36;24;41;6;0;PONTEVEDRA;LALÍN;O SEIXO;8;5;3
36;24;41;7;0;PONTEVEDRA;LALÍN;VILA;71;38;33
36;24;41;8;0;PONTEVEDRA;LALÍN;VILARIÑO;65;31;34
36;24;42;0;0;PONTEVEDRA;LALÍN;SELLO (SANTIAGO);287;146;141
36;24;42;1;0;PONTEVEDRA;LALÍN;O BARREIRO;5;2;3
36;24;42;2;0;PONTEVEDRA;LALÍN;BARRIO;15;5;10
36;24;42;3;0;PONTEVEDRA;LALÍN;O BURGO;19;9;10
36;24;42;4;0;PONTEVEDRA;LALÍN;CIMA DE SELLO;22;14;8
36;24;42;5;0;PONTEVEDRA;LALÍN;CORVILLÓN;0;0;0
36;24;42;6;0;PONTEVEDRA;LALÍN;ERBO DE ABAIXO;10;8;2
36;24;42;7;0;PONTEVEDRA;LALÍN;FONTECABALOS;21;12;9
36;24;42;8;0;PONTEVEDRA;LALÍN;HORTA;8;5;3
36;24;42;9;0;PONTEVEDRA;LALÍN;XESTEIRA;13;7;6
36;24;42;10;0;PONTEVEDRA;LALÍN;REGUFE;29;17;12
36;24;42;11;0;PONTEVEDRA;LALÍN;SELLO;10;5;5
36;24;42;12;0;PONTEVEDRA;LALÍN;VALADO;13;5;8
36;24;42;13;0;PONTEVEDRA;LALÍN;VILAMEÁ;33;13;20
36;24;42;14;0;PONTEVEDRA;LALÍN;VILASANCHO;89;44;45
36;24;43;0;0;PONTEVEDRA;LALÍN;SOUTOLONGO (SANTA MARÍA);266;118;148
36;24;43;1;0;PONTEVEDRA;LALÍN;CARRACEDO;17;8;9
36;24;43;2;0;PONTEVEDRA;LALÍN;DES;28;13;15
36;24;43;3;0;PONTEVEDRA;LALÍN;EIREXE;4;1;3
